vertex_index,x,y,z,nx,ny,nz
291,-3.240510,2.440420,4.430310,0.338950,-0.009489,-0.940756
292,-2.665270,2.612390,4.468090,0.001031,-0.633024,-0.774132
293,-3.152760,2.349990,4.419870,0.969149,-0.060286,-0.238989
294,-3.158720,2.358900,4.429450,0.585487,0.742219,-0.326062
295,-3.148060,2.354190,4.437870,0.969149,-0.060286,-0.238989
296,-3.160510,2.345120,4.433140,0.578662,-0.814635,0.038987
297,-2.625580,2.343830,4.458650,0.320272,-0.683082,-0.656372
298,-2.617530,2.337390,4.469280,0.320272,-0.683082,-0.656372
299,-2.628180,2.342530,4.478190,-0.514034,-0.848634,-0.124857
300,-2.835360,2.425670,4.450830,0.445094,-0.711293,-0.544016
301,-2.847940,2.419190,4.449010,0.445094,-0.711293,-0.544016
302,-2.844130,2.428970,4.439340,0.445094,-0.711293,-0.544016
303,-2.189670,2.277090,4.507320,0.801073,-0.375979,0.465750
304,-2.190510,2.265130,4.499110,0.435896,-0.854759,-0.281748
305,-2.181810,2.272530,4.490120,0.435896,-0.854759,-0.281748
306,-2.196460,2.277010,4.493240,-0.330888,-0.546018,-0.769661
307,-2.470610,2.458400,4.468460,-0.021614,0.763820,-0.645068
308,-2.844980,1.847180,4.450650,0.803448,-0.040635,-0.593987
309,-2.851740,1.855310,4.440950,0.803448,-0.040635,-0.593987
310,-2.852790,1.853670,4.460800,0.706558,0.701208,0.095308
311,0.054190,-0.107503,0.434950,-0.663851,-0.145926,-0.733490
312,0.051744,-0.108015,0.450312,-0.646524,-0.752081,-0.127987
313,0.041167,-0.097992,0.444844,-0.663851,-0.145926,-0.733490
314,-2.969660,2.341690,4.427700,0.843793,-0.009479,-0.536585
315,-2.976110,2.349870,4.438940,0.349733,0.841524,-0.411734
316,-2.961820,2.344440,4.439980,0.843793,-0.009479,-0.536585
317,-2.978610,2.334840,4.437340,0.507655,-0.851155,-0.133496
318,-2.562140,2.551730,4.470370,0.010432,0.698689,-0.715349
319,-2.547930,2.552040,4.470880,0.790332,0.135325,-0.597547
320,-2.553310,2.542660,4.461640,0.790332,0.135325,-0.597547
321,-2.318350,2.604230,4.477540,0.712010,-0.516368,-0.475822
322,-2.330320,2.605100,4.485460,-0.020017,-0.996655,0.079229
323,-2.326700,2.603470,4.465870,0.712010,-0.516368,-0.475822
324,-2.454820,2.614320,4.475660,0.734252,0.657206,-0.170158
325,-2.448610,2.605000,4.466460,0.711404,-0.186053,-0.677709
326,-2.456680,2.611370,4.456240,0.711404,-0.186053,-0.677709
327,-2.141140,2.435630,4.509540,0.015745,-0.899876,0.435861
328,-2.148110,2.429410,4.496950,-0.419371,-0.876812,-0.235221
329,-2.132780,2.428230,4.493960,0.601249,-0.717653,-0.351388
330,-2.554060,2.544420,4.481210,0.827715,-0.555177,0.081650
331,-2.462990,2.604070,4.467980,-0.000948,-0.848986,-0.528414
332,2.510370,1.846310,4.750560,-0.698031,-0.149742,-0.700235
333,2.511480,1.844530,4.765350,-0.938350,-0.344471,0.028966
334,2.518560,1.857050,4.756940,-0.432032,0.680814,-0.591473
335,-2.256250,0.747639,4.544990,0.988700,-0.038299,0.144934
336,-2.253440,0.745743,4.525320,0.501843,-0.102420,-0.858873
337,-2.262030,0.754197,4.533400,0.013644,0.698082,-0.715888
338,-1.709950,2.533700,4.524660,0.190637,-0.784571,-0.590006
339,-1.721090,2.538220,4.515050,0.190637,-0.784571,-0.590006
340,-1.713470,2.547880,4.523080,0.670247,0.084222,-0.737343
341,1.359730,1.556970,4.834720,0.129382,-0.117624,-0.984594
342,1.365250,1.565140,4.848730,0.686711,0.476870,-0.548656
343,1.359440,1.549020,4.848970,0.193847,-0.858397,-0.474950
344,-0.650466,0.815774,4.660990,0.588721,-0.305283,-0.748472
345,-0.644465,0.804570,4.670280,0.588721,-0.305283,-0.748472
346,-0.658288,0.809474,4.671780,-0.317800,-0.700261,-0.639247
347,1.888420,1.749620,4.813340,-0.073348,-0.985734,0.151484
348,1.879380,1.750890,4.802210,-0.257736,-0.954091,-0.152585
349,1.890160,1.746480,4.793750,0.065316,-0.511186,-0.856985
350,2.245540,0.260569,3.268140,-0.641489,0.764052,0.068675
351,2.243730,0.260314,3.254070,-0.718417,0.106644,-0.687389
352,2.235030,0.252304,3.261920,-0.718417,0.106644,-0.687389
353,0.751373,-0.064567,1.460530,-0.957726,-0.010452,-0.287491
354,-0.746864,0.562081,4.641220,0.516344,-0.610332,-0.600736
355,-0.755506,0.556925,4.651250,0.641246,-0.748814,0.167574
356,-0.762046,0.549109,4.641350,0.516344,-0.610332,-0.600736
357,-0.761268,0.563557,4.640090,0.068686,-0.090344,-0.993539
358,-0.860519,1.449380,4.640110,0.631042,-0.055701,-0.773747
359,-0.864343,1.440180,4.653260,0.955840,-0.282750,0.080139
360,-0.865209,1.432780,4.637480,0.631042,-0.055701,-0.773747
361,0.757193,-0.059781,1.648870,-0.267517,-0.137420,-0.953703
362,0.743421,-0.059759,1.652730,-0.267517,-0.137420,-0.953703
363,0.751727,-0.048843,1.656780,-0.234554,0.489976,-0.839588
