vertex_index,x,y,z,nx,ny,nz
299,-1.745080,2.328000,4.529940,0.700043,-0.707964,-0.093423
300,-3.060820,0.365497,4.469830,0.289714,0.073556,-0.954283
301,-3.068550,0.371194,4.480520,-0.578975,0.813507,0.054720
302,-3.059240,0.365279,4.489740,0.436487,0.053234,0.898134
303,-2.148180,0.446968,4.558600,-0.428614,-0.271052,0.861871
304,-2.140150,0.441131,4.545440,0.350335,-0.840205,-0.413909
305,-2.136680,0.456210,4.551130,0.731094,0.665954,0.148349
306,-3.147380,0.853824,4.474410,-0.458443,0.042985,0.887683
307,-3.138570,0.860478,4.464980,0.477882,0.878276,0.016118
308,-3.145540,0.853185,4.454540,-0.287714,-0.016351,-0.957577
309,-3.196940,0.849797,4.447180,0.514252,-0.855668,0.058111
310,-3.060310,-0.032492,4.464580,-0.204540,-0.543764,-0.813932
311,-3.059800,-0.030001,4.483350,-0.156907,-0.311225,0.937294
312,-3.063540,-0.019554,4.472510,-0.603937,0.792127,-0.088284
313,-2.833500,0.640540,4.473440,-0.237997,-0.112925,-0.964679
314,-2.829590,0.650103,4.484250,0.157712,0.986536,0.043288
315,-2.825300,0.636199,4.484650,0.707565,-0.700045,0.096379
316,-1.576160,0.949230,4.583190,-0.731917,-0.595548,-0.331090
317,-1.563060,0.951603,4.589260,0.837385,-0.375548,0.397178
318,-1.574150,0.959440,4.594710,-0.416985,0.450881,0.789196
319,-1.565910,0.959132,4.577040,0.342378,0.422516,-0.839201
320,-2.555950,0.753728,4.515090,-0.921286,0.381742,-0.074195
321,-2.548890,0.746909,4.525800,-0.036890,-0.345821,0.937575
322,-2.541580,0.754591,4.516010,0.867365,0.496056,0.040079
323,-2.831170,0.264149,4.497370,0.390190,0.903339,0.178129
324,-2.843380,0.254916,4.501660,-0.510422,0.719645,0.470723
325,-2.840430,0.847671,4.492620,-0.540535,0.027031,0.840887
326,-2.831070,0.854518,4.483970,0.442148,0.895344,0.053519
327,-2.836940,0.847126,4.473010,-0.217218,-0.023459,-0.975841
328,-3.139380,0.846248,4.465360,0.394588,-0.916500,0.065791
329,-3.052210,0.750159,4.461940,0.760588,0.045387,-0.647647
330,-3.064490,0.756688,4.467300,-0.488331,0.849272,-0.200675
331,-3.060180,0.749792,4.479790,0.025194,0.011527,0.999616
